parent_sha,commit_sha,file_path,old_path,new_path,commit_message,diff_myers,diff_hist
,33850c0ebd23ae615e6823993d441f46d80b1ff0,.gitignore,,.gitignore,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/apishowcase/apishowcase.py,,examples/apishowcase/apishowcase.py,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/apishowcase/static/style.css,,examples/apishowcase/static/style.css,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/apishowcase/templates/counter.html,,examples/apishowcase/templates/counter.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/apishowcase/templates/hello.html,,examples/apishowcase/templates/hello.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/apishowcase/templates/index.html,,examples/apishowcase/templates/index.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/apishowcase/templates/layout.html,,examples/apishowcase/templates/layout.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/minitwit/minitwit.py,,examples/minitwit/minitwit.py,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/minitwit/schema.sql,,examples/minitwit/schema.sql,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/minitwit/static/style.css,,examples/minitwit/static/style.css,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/minitwit/templates/layout.html,,examples/minitwit/templates/layout.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/minitwit/templates/login.html,,examples/minitwit/templates/login.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/minitwit/templates/register.html,,examples/minitwit/templates/register.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,examples/minitwit/templates/timeline.html,,examples/minitwit/templates/timeline.html,Initial checkin of stuff that exists so far.,,
,33850c0ebd23ae615e6823993d441f46d80b1ff0,flask.py,,flask.py,Initial checkin of stuff that exists so far.,,
